ioc,ioc_type,malware,first_seen
http://silentlegion.duckdns.org/gate/connection.php,url,Unknown Stealer,2026-06-14 12:17:00
s01687.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:43
s01687.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:43
s01687.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:42
s01687.star-layer.com,domain,Unknown malware,2026-06-14 12:13:42
s01688.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:42
s01688.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:41
s01688.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:41
s01688.star-layer.com,domain,Unknown malware,2026-06-14 12:13:40
s01689.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:40
s01689.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:40
s01689.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:39
s01690.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:39
s01689.star-layer.com,domain,Unknown malware,2026-06-14 12:13:38
s01690.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:38
s01690.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:37
s01690.star-layer.com,domain,Unknown malware,2026-06-14 12:13:37
s01691.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:34
s01691.star-layer.com,domain,Unknown malware,2026-06-14 12:13:32
s01691.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:31
s01691.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:31
s01692.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:30
s01692.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:30
s01692.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:29
s01692.star-layer.com,domain,Unknown malware,2026-06-14 12:13:29
s1408.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:29
s1408.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:28
s1408.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:28
s1408.star-layer.com,domain,Unknown malware,2026-06-14 12:13:28
s1694.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:27
s1694.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:27
s1694.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:26
